probe_idx,episode,t,probe_type,decoder_shift_ssss_vs_mmmm,policy_shift_ssss_vs_mmmm,policy_tvd_ssss_vs_mmmm,decoder_shift_ssss_vs_mmmm_a0,decoder_shift_ssss_vs_mmmm_a1,decoder_shift_ssss_vs_mmmm_a2,decoder_shift_ssss_vs_mmmm_a3,decoder_shift_ssss_vs_mmmm_a4,decoder_shift_ssss_vs_zero,policy_shift_ssss_vs_zero,policy_tvd_ssss_vs_zero,decoder_shift_ssss_vs_zero_a0,decoder_shift_ssss_vs_zero_a1,decoder_shift_ssss_vs_zero_a2,decoder_shift_ssss_vs_zero_a3,decoder_shift_ssss_vs_zero_a4,decoder_shift_mmmm_vs_zero,policy_shift_mmmm_vs_zero,policy_tvd_mmmm_vs_zero,decoder_shift_mmmm_vs_zero_a0,decoder_shift_mmmm_vs_zero_a1,decoder_shift_mmmm_vs_zero_a2,decoder_shift_mmmm_vs_zero_a3,decoder_shift_mmmm_vs_zero_a4,decoder_shift_ssss_vs_ssss_b,policy_shift_ssss_vs_ssss_b,policy_tvd_ssss_vs_ssss_b,decoder_shift_ssss_vs_ssss_b_a0,decoder_shift_ssss_vs_ssss_b_a1,decoder_shift_ssss_vs_ssss_b_a2,decoder_shift_ssss_vs_ssss_b_a3,decoder_shift_ssss_vs_ssss_b_a4,alpha,seed
0,0,0,quiet,0.0006205156678333879,0.0011717324377968907,0.0006736386567354202,0.0005325538804754615,0.0004891561693511903,0.000493182335048914,0.0007289834320545197,0.0007922535878606141,0.3102760314941406,0.645075261592865,0.3093947172164917,0.32999590039253235,0.19899682700634003,0.23725929856300354,0.36872732639312744,0.374976247549057,0.3106989860534668,0.6443684101104736,0.3090432584285736,0.33031517267227173,0.19929856061935425,0.23754897713661194,0.36925849318504333,0.37557950615882874,0.0005940463161095977,0.0007303720922209322,0.0003658607602119446,0.0005084261647425592,0.0004866699455305934,0.0004892827128060162,0.000682273181155324,0.0007511430885642767,0.05,0
1,0,1,quiet,0.0006205156678333879,0.0007423745701089501,0.0003818012773990631,0.0005325538804754615,0.0004891561693511903,0.000493182335048914,0.0007289834320545197,0.0007922535878606141,0.3102760314941406,0.527783215045929,0.2140660583972931,0.32999590039253235,0.19899682700634003,0.23725929856300354,0.36872732639312744,0.374976247549057,0.3106989860534668,0.5278159379959106,0.21401330828666687,0.33031517267227173,0.19929856061935425,0.23754897713661194,0.36925849318504333,0.37557950615882874,0.0005940463161095977,0.0007290463545359671,0.0002660434693098068,0.0005084261647425592,0.0004866699455305934,0.0004892827128060162,0.000682273181155324,0.0007511430885642767,0.05,0
2,0,2,quiet,0.0006205156678333879,0.0007453738944604993,0.0003862576559185982,0.0005325538804754615,0.0004891561693511903,0.000493182335048914,0.0007289834320545197,0.0007922535878606141,0.3102760314941406,0.5157244801521301,0.2011822760105133,0.32999590039253235,0.19899682700634003,0.23725929856300354,0.36872732639312744,0.374976247549057,0.3106989860534668,0.5157586932182312,0.20113268494606018,0.33031517267227173,0.19929856061935425,0.23754897713661194,0.36925849318504333,0.37557950615882874,0.0005940463161095977,0.0007229077164083719,0.00027003977447748184,0.0005084261647425592,0.0004866699455305934,0.0004892827128060162,0.000682273181155324,0.0007511430885642767,0.05,0
3,0,3,quiet,0.0006205156678333879,0.0007453917060047388,0.0003885934129357338,0.0005325538804754615,0.0004891561693511903,0.000493182335048914,0.0007289834320545197,0.0007922535878606141,0.3102760314941406,0.5091317892074585,0.19583772122859955,0.32999590039253235,0.19899682700634003,0.23725929856300354,0.36872732639312744,0.374976247549057,0.3106989860534668,0.5091578960418701,0.19578701257705688,0.33031517267227173,0.19929856061935425,0.23754897713661194,0.36925849318504333,0.37557950615882874,0.0005940463161095977,0.0007156445062719285,0.00027127470821142197,0.0005084261647425592,0.0004866699455305934,0.0004892827128060162,0.000682273181155324,0.0007511430885642767,0.05,0
4,0,4,quiet,0.0006205156678333879,0.0007442554924637079,0.0003863424062728882,0.0005325538804754615,0.0004891561693511903,0.000493182335048914,0.0007289834320545197,0.0007922535878606141,0.3102760314941406,0.5289028882980347,0.2142592817544937,0.32999590039253235,0.19899682700634003,0.23725929856300354,0.36872732639312744,0.374976247549057,0.3106989860534668,0.5289198160171509,0.214202418923378,0.33031517267227173,0.19929856061935425,0.23754897713661194,0.36925849318504333,0.37557950615882874,0.0005940463161095977,0.0007213325006887317,0.00026733800768852234,0.0005084261647425592,0.0004866699455305934,0.0004892827128060162,0.000682273181155324,0.0007511430885642767,0.05,0
5,0,5,quiet,0.0006205156678333879,0.0007469677948392928,0.0003878530114889145,0.0005325538804754615,0.0004891561693511903,0.000493182335048914,0.0007289834320545197,0.0007922535878606141,0.3102760314941406,0.5167792439460754,0.2037835717201233,0.32999590039253235,0.19899682700634003,0.23725929856300354,0.36872732639312744,0.374976247549057,0.3106989860534668,0.5168062448501587,0.20373126864433289,0.33031517267227173,0.19929856061935425,0.23754897713661194,0.36925849318504333,0.37557950615882874,0.0005940463161095977,0.0007226651650853455,0.00027028005570173264,0.0005084261647425592,0.0004866699455305934,0.0004892827128060162,0.000682273181155324,0.0007511430885642767,0.05,0
6,0,6,quiet,0.0006205156678333879,0.0007465872913599014,0.0003869282081723213,0.0005325538804754615,0.0004891561693511903,0.000493182335048914,0.0007289834320545197,0.0007922535878606141,0.3102760314941406,0.5215169787406921,0.20856770873069763,0.32999590039253235,0.19899682700634003,0.23725929856300354,0.36872732639312744,0.374976247549057,0.3106989860534668,0.5215426087379456,0.20851397514343262,0.33031517267227173,0.19929856061935425,0.23754897713661194,0.36925849318504333,0.37557950615882874,0.0005940463161095977,0.0007252170471474528,0.000269254669547081,0.0005084261647425592,0.0004866699455305934,0.0004892827128060162,0.000682273181155324,0.0007511430885642767,0.05,0
7,0,7,quiet,0.0006205156678333879,0.0007436347077600658,0.0003849174827337265,0.0005325538804754615,0.0004891561693511903,0.000493182335048914,0.0007289834320545197,0.0007922535878606141,0.3102760314941406,0.5234602093696594,0.20652765035629272,0.32999590039253235,0.19899682700634003,0.23725929856300354,0.36872732639312744,0.374976247549057,0.3106989860534668,0.523489773273468,0.20647601783275604,0.33031517267227173,0.19929856061935425,0.23754897713661194,0.36925849318504333,0.37557950615882874,0.0005940463161095977,0.000722179189324379,0.00026839040219783783,0.0005084261647425592,0.0004866699455305934,0.0004892827128060162,0.000682273181155324,0.0007511430885642767,0.05,0
8,0,8,quiet,0.0006205156678333879,0.0007451022393070161,0.00038750097155570984,0.0005325538804754615,0.0004891561693511903,0.000493182335048914,0.0007289834320545197,0.0007922535878606141,0.3102760314941406,0.5044503808021545,0.19220513105392456,0.32999590039253235,0.19899682700634003,0.23725929856300354,0.36872732639312744,0.374976247549057,0.3106989860534668,0.5044829249382019,0.1921565681695938,0.33031517267227173,0.19929856061935425,0.23754897713661194,0.36925849318504333,0.37557950615882874,0.0005940463161095977,0.0007166665163822472,0.00027136877179145813,0.0005084261647425592,0.0004866699455305934,0.0004892827128060162,0.000682273181155324,0.0007511430885642767,0.05,0
9,0,9,quiet,0.0006205156678333879,0.0007412349805235863,0.0003824140876531601,0.0005325538804754615,0.0004891561693511903,0.000493182335048914,0.0007289834320545197,0.0007922535878606141,0.3102760314941406,0.5259732604026794,0.2116277664899826,0.32999590039253235,0.19899682700634003,0.23725929856300354,0.36872732639312744,0.374976247549057,0.3106989860534668,0.5260031223297119,0.21157510578632355,0.33031517267227173,0.19929856061935425,0.23754897713661194,0.36925849318504333,0.37557950615882874,0.0005940463161095977,0.0007246154709719121,0.00026645325124263763,0.0005084261647425592,0.0004866699455305934,0.0004892827128060162,0.000682273181155324,0.0007511430885642767,0.05,0
