probe_idx,zone_id,x,y,g_label,z_raw_norm,z_t_norm,z_shift,gamma_mean,gamma_abs_mean,beta_mean,z_raw_0,z_t_0,gamma_0,beta_0,z_raw_1,z_t_1,gamma_1,beta_1,z_raw_2,z_t_2,gamma_2,beta_2,z_raw_3,z_t_3,gamma_3,beta_3,z_raw_4,z_t_4,gamma_4,beta_4,z_raw_5,z_t_5,gamma_5,beta_5,z_raw_6,z_t_6,gamma_6,beta_6,z_raw_7,z_t_7,gamma_7,beta_7,z_raw_8,z_t_8,gamma_8,beta_8,z_raw_9,z_t_9,gamma_9,beta_9,z_raw_10,z_t_10,gamma_10,beta_10,z_raw_11,z_t_11,gamma_11,beta_11,z_raw_12,z_t_12,gamma_12,beta_12,z_raw_13,z_t_13,gamma_13,beta_13,z_raw_14,z_t_14,gamma_14,beta_14,z_raw_15,z_t_15,gamma_15,beta_15
0,0,0,5,high_perturb,3.1115424633026123,5.828949451446533,3.6259357929229736,0.308563768863678,0.6478793025016785,-0.11722755432128906,-0.8385012149810791,-2.118370532989502,1.5923207998275757,0.05529384687542915,0.10523995757102966,-0.26416367292404175,-0.44465920329093933,-0.32260772585868835,-0.7373718023300171,0.28286194801330566,-0.5800111889839172,0.5925498604774475,-0.7470866441726685,-1.0776269435882568,0.10525836795568466,-0.25190314650535583,0.9309714436531067,1.6496535539627075,1.1721447706222534,-0.3725513219833374,-0.09000815451145172,0.4867326021194458,0.13924750685691833,0.5892741680145264,-0.9196093082427979,-1.1529905796051025,-0.048522889614105225,-0.278003454208374,-0.8876156210899353,-2.4426839351654053,1.432013988494873,-0.2839902937412262,0.9455171227455139,2.115372896194458,0.911592960357666,0.30792897939682007,-0.7976507544517517,-0.9148495197296143,-0.4778801202774048,-0.498380184173584,-0.29873329401016235,-0.6546084880828857,-0.323346883058548,-0.4524696469306946,-0.9920418858528137,-1.6158636808395386,0.3163541257381439,-0.3099852502346039,-0.9628397822380066,-2.1906957626342773,1.1678341627120972,-0.10341861844062805,0.956514298915863,-0.3938990831375122,-0.649065375328064,-0.7295730710029602,0.9090955257415771,2.1475231647491455,0.814777672290802,0.4977169334888458,0.29198789596557617,-0.07931488752365112,-0.19103854894638062,-0.31552183628082275
0,0,0,5,g_zero,3.1115424633026123,3.325286865234375,0.3788362145423889,0.03929214924573898,0.062314145267009735,-0.010037433356046677,-0.8385012149810791,-0.9358291625976562,0.12297329306602478,0.005785350222140551,0.10523995757102966,0.0889013484120369,-0.01744241639971733,-0.014502969570457935,-0.7373718023300171,-0.6514065861701965,-0.049026552587747574,0.04981440305709839,-0.7470866441726685,-0.7826604247093201,0.029160797595977783,-0.013788171112537384,0.9309714436531067,1.0084426403045654,0.1234889030456543,-0.03749348223209381,-0.09000815451145172,-0.00743953138589859,0.033801086246967316,0.08561099320650101,-0.9196093082427979,-0.9420995116233826,0.012982442043721676,-0.010551368817687035,-0.8876156210899353,-1.0437391996383667,0.13659332692623138,-0.03488126024603844,0.9455171227455139,1.0637403726577759,0.09014942497015,0.03298543393611908,-0.7976507544517517,-0.8760327696800232,0.03462774679064751,-0.050761111080646515,-0.29873329401016235,-0.37170499563217163,-0.03084436058998108,-0.08218590915203094,-0.9920418858528137,-1.0507608652114868,0.03468654304742813,-0.024308402091264725,-0.9628397822380066,-1.102022647857666,0.12677563726902008,-0.01711825467646122,0.956514298915863,0.8080793023109436,-0.07239164412021637,-0.07919136434793472,0.9090955257415771,1.0343165397644043,0.06761118024587631,0.06375595182180405,0.29198789596557617,0.2539937496185303,-0.014471028000116348,-0.03376875817775726
1,0,0,5,high_perturb,3.1115424633026123,5.828949451446533,3.6259357929229736,0.308563768863678,0.6478793025016785,-0.11722755432128906,-0.8385012149810791,-2.118370532989502,1.5923207998275757,0.05529384687542915,0.10523995757102966,-0.26416367292404175,-0.44465920329093933,-0.32260772585868835,-0.7373718023300171,0.28286194801330566,-0.5800111889839172,0.5925498604774475,-0.7470866441726685,-1.0776269435882568,0.10525836795568466,-0.25190314650535583,0.9309714436531067,1.6496535539627075,1.1721447706222534,-0.3725513219833374,-0.09000815451145172,0.4867326021194458,0.13924750685691833,0.5892741680145264,-0.9196093082427979,-1.1529905796051025,-0.048522889614105225,-0.278003454208374,-0.8876156210899353,-2.4426839351654053,1.432013988494873,-0.2839902937412262,0.9455171227455139,2.115372896194458,0.911592960357666,0.30792897939682007,-0.7976507544517517,-0.9148495197296143,-0.4778801202774048,-0.498380184173584,-0.29873329401016235,-0.6546084880828857,-0.323346883058548,-0.4524696469306946,-0.9920418858528137,-1.6158636808395386,0.3163541257381439,-0.3099852502346039,-0.9628397822380066,-2.1906957626342773,1.1678341627120972,-0.10341861844062805,0.956514298915863,-0.3938990831375122,-0.649065375328064,-0.7295730710029602,0.9090955257415771,2.1475231647491455,0.814777672290802,0.4977169334888458,0.29198789596557617,-0.07931488752365112,-0.19103854894638062,-0.31552183628082275
1,0,0,5,g_zero,3.1115424633026123,3.325286865234375,0.3788362145423889,0.03929214924573898,0.062314145267009735,-0.010037433356046677,-0.8385012149810791,-0.9358291625976562,0.12297329306602478,0.005785350222140551,0.10523995757102966,0.0889013484120369,-0.01744241639971733,-0.014502969570457935,-0.7373718023300171,-0.6514065861701965,-0.049026552587747574,0.04981440305709839,-0.7470866441726685,-0.7826604247093201,0.029160797595977783,-0.013788171112537384,0.9309714436531067,1.0084426403045654,0.1234889030456543,-0.03749348223209381,-0.09000815451145172,-0.00743953138589859,0.033801086246967316,0.08561099320650101,-0.9196093082427979,-0.9420995116233826,0.012982442043721676,-0.010551368817687035,-0.8876156210899353,-1.0437391996383667,0.13659332692623138,-0.03488126024603844,0.9455171227455139,1.0637403726577759,0.09014942497015,0.03298543393611908,-0.7976507544517517,-0.8760327696800232,0.03462774679064751,-0.050761111080646515,-0.29873329401016235,-0.37170499563217163,-0.03084436058998108,-0.08218590915203094,-0.9920418858528137,-1.0507608652114868,0.03468654304742813,-0.024308402091264725,-0.9628397822380066,-1.102022647857666,0.12677563726902008,-0.01711825467646122,0.956514298915863,0.8080793023109436,-0.07239164412021637,-0.07919136434793472,0.9090955257415771,1.0343165397644043,0.06761118024587631,0.06375595182180405,0.29198789596557617,0.2539937496185303,-0.014471028000116348,-0.03376875817775726
2,0,1,1,high_perturb,3.2472290992736816,5.986230373382568,3.549837350845337,0.308563768863678,0.6478793025016785,-0.11722755432128906,-0.8792175054550171,-2.2239201068878174,1.5923207998275757,0.05529384687542915,-0.5443652868270874,-0.6249159574508667,-0.44465920329093933,-0.32260772585868835,-0.3225966691970825,0.45706287026405334,-0.5800111889839172,0.5925498604774475,-0.8549379110336304,-1.19683039188385,0.10525836795568466,-0.25190314650535583,0.9187268614768982,1.6230565309524536,1.1721447706222534,-0.3725513219833374,-0.46903422474861145,0.05492806434631348,0.13924750685691833,0.5892741680145264,-0.9714245200157166,-1.20229172706604,-0.048522889614105225,-0.278003454208374,-0.8732271194458008,-2.40769100189209,1.432013988494873,-0.2839902937412262,0.9687593579292297,2.1598024368286133,0.911592960357666,0.30792897939682007,-0.9423593282699585,-0.9904047250747681,-0.4778801202774048,-0.498380184173584,-0.5989388823509216,-0.857743501663208,-0.323346883058548,-0.4524696469306946,-0.9964368939399719,-1.621649146080017,0.3163541257381439,-0.3099852502346039,-0.9712084531784058,-2.2088375091552734,1.1678341627120972,-0.10341861844062805,0.9148246049880981,-0.4085294306278229,-0.649065375328064,-0.7295730710029602,0.9432746767997742,2.209550619125366,0.814777672290802,0.4977169334888458,0.14779260754585266,-0.1959633231163025,-0.19103854894638062,-0.31552183628082275
2,0,1,1,g_zero,3.2472290992736816,3.4786429405212402,0.37224358320236206,0.03929214924573898,0.062314145267009735,-0.010037433356046677,-0.8792175054550171,-0.9815524816513062,0.12297329306602478,0.005785350222140551,-0.5443652868270874,-0.549373209476471,-0.01744241639971733,-0.014502969570457935,-0.3225966691970825,-0.2569664716720581,-0.049026552587747574,0.04981440305709839,-0.8549379110336304,-0.8936566710472107,0.029160797595977783,-0.013788171112537384,0.9187268614768982,0.9946860074996948,0.1234889030456543,-0.03749348223209381,-0.46903422474861145,-0.39927709102630615,0.033801086246967316,0.08561099320650101,-0.9714245200157166,-0.9945874214172363,0.012982442043721676,-0.010551368817687035,-0.8732271194458008,-1.0273853540420532,0.13659332692623138,-0.03488126024603844,0.9687593579292297,1.0890778303146362,0.09014942497015,0.03298543393611908,-0.9423593282699585,-1.025752305984497,0.03462774679064751,-0.050761111080646515,-0.5989388823509216,-0.6626509428024292,-0.03084436058998108,-0.08218590915203094,-0.9964368939399719,-1.0553083419799805,0.03468654304742813,-0.024308402091264725,-0.9712084531784058,-1.1114522218704224,0.12677563726902008,-0.01711825467646122,0.9148246049880981,0.7694075703620911,-0.07239164412021637,-0.07919136434793472,0.9432746767997742,1.070806622505188,0.06761118024587631,0.06375595182180405,0.14779260754585266,0.11188513040542603,-0.014471028000116348,-0.03376875817775726
3,0,2,5,high_perturb,3.147865056991577,5.892564296722412,3.61179518699646,0.308563768863678,0.6478793025016785,-0.11722755432128906,-0.8555701971054077,-2.162618637084961,1.5923207998275757,0.05529384687542915,-0.0672796368598938,-0.3599708676338196,-0.44465920329093933,-0.32260772585868835,-0.6395515203475952,0.32394537329673767,-0.5800111889839172,0.5925498604774475,-0.7828778624534607,-1.1171854734420776,0.10525836795568466,-0.25190314650535583,0.9272887706756592,1.641654133796692,1.1721447706222534,-0.3725513219833374,-0.17713706195354462,0.38747119903564453,0.13924750685691833,0.5892741680145264,-0.9446706771850586,-1.1768360137939453,-0.048522889614105225,-0.278003454208374,-0.8890169858932495,-2.446092128753662,1.432013988494873,-0.2839902937412262,0.9552788734436035,2.134033441543579,0.911592960357666,0.30792897939682007,-0.8639495968818665,-0.9494654536247253,-0.4778801202774048,-0.498380184173584,-0.43135619163513184,-0.7443481683731079,-0.323346883058548,-0.4524696469306946,-0.99408358335495,-1.6185513734817505,0.3163541257381439,-0.3099852502346039,-0.9672284722328186,-2.200209617614746,1.1678341627120972,-0.10341861844062805,0.947925329208374,-0.3969132602214813,-0.649065375328064,-0.7295730710029602,0.9213495254516602,2.1697614192962646,0.814777672290802,0.4977169334888458,0.24574941396713257,-0.1167200356721878,-0.19103854894638062,-0.31552183628082275
3,0,2,5,g_zero,3.147865056991577,3.370490550994873,0.377851665019989,0.03929214924573898,0.062314145267009735,-0.010037433356046677,-0.8555701971054077,-0.954997181892395,0.12297329306602478,0.005785350222140551,-0.0672796368598938,-0.08060909062623978,-0.01744241639971733,-0.014502969570457935,-0.6395515203475952,-0.5583820939064026,-0.049026552587747574,0.04981440305709839,-0.7828778624534607,-0.8194953203201294,0.029160797595977783,-0.013788171112537384,0.9272887706756592,1.004305124282837,0.1234889030456543,-0.03749348223209381,-0.17713706195354462,-0.09751348942518234,0.033801086246967316,0.08561099320650101,-0.9446706771850586,-0.9674862623214722,0.012982442043721676,-0.010551368817687035,-0.8890169858932495,-1.0453320741653442,0.13659332692623138,-0.03488126024603844,0.9552788734436035,1.0743821859359741,0.09014942497015,0.03298543393611908,-0.8639495968818665,-0.9446273446083069,0.03462774679064751,-0.050761111080646515,-0.43135619163513184,-0.500237226486206,-0.03084436058998108,-0.08218590915203094,-0.99408358335495,-1.0528733730316162,0.03468654304742813,-0.024308402091264725,-0.9672284722328186,-1.1069676876068115,0.12677563726902008,-0.01711825467646122,0.947925329208374,0.8001120686531067,-0.07239164412021637,-0.07919136434793472,0.9213495254516602,1.0473990440368652,0.06761118024587631,0.06375595182180405,0.24574941396713257,0.2084244042634964,-0.014471028000116348,-0.03376875817775726
4,0,1,1,high_perturb,3.2472290992736816,5.986230373382568,3.549837350845337,0.308563768863678,0.6478793025016785,-0.11722755432128906,-0.8792175054550171,-2.2239201068878174,1.5923207998275757,0.05529384687542915,-0.5443652868270874,-0.6249159574508667,-0.44465920329093933,-0.32260772585868835,-0.3225966691970825,0.45706287026405334,-0.5800111889839172,0.5925498604774475,-0.8549379110336304,-1.19683039188385,0.10525836795568466,-0.25190314650535583,0.9187268614768982,1.6230565309524536,1.1721447706222534,-0.3725513219833374,-0.46903422474861145,0.05492806434631348,0.13924750685691833,0.5892741680145264,-0.9714245200157166,-1.20229172706604,-0.048522889614105225,-0.278003454208374,-0.8732271194458008,-2.40769100189209,1.432013988494873,-0.2839902937412262,0.9687593579292297,2.1598024368286133,0.911592960357666,0.30792897939682007,-0.9423593282699585,-0.9904047250747681,-0.4778801202774048,-0.498380184173584,-0.5989388823509216,-0.857743501663208,-0.323346883058548,-0.4524696469306946,-0.9964368939399719,-1.621649146080017,0.3163541257381439,-0.3099852502346039,-0.9712084531784058,-2.2088375091552734,1.1678341627120972,-0.10341861844062805,0.9148246049880981,-0.4085294306278229,-0.649065375328064,-0.7295730710029602,0.9432746767997742,2.209550619125366,0.814777672290802,0.4977169334888458,0.14779260754585266,-0.1959633231163025,-0.19103854894638062,-0.31552183628082275
4,0,1,1,g_zero,3.2472290992736816,3.4786429405212402,0.37224358320236206,0.03929214924573898,0.062314145267009735,-0.010037433356046677,-0.8792175054550171,-0.9815524816513062,0.12297329306602478,0.005785350222140551,-0.5443652868270874,-0.549373209476471,-0.01744241639971733,-0.014502969570457935,-0.3225966691970825,-0.2569664716720581,-0.049026552587747574,0.04981440305709839,-0.8549379110336304,-0.8936566710472107,0.029160797595977783,-0.013788171112537384,0.9187268614768982,0.9946860074996948,0.1234889030456543,-0.03749348223209381,-0.46903422474861145,-0.39927709102630615,0.033801086246967316,0.08561099320650101,-0.9714245200157166,-0.9945874214172363,0.012982442043721676,-0.010551368817687035,-0.8732271194458008,-1.0273853540420532,0.13659332692623138,-0.03488126024603844,0.9687593579292297,1.0890778303146362,0.09014942497015,0.03298543393611908,-0.9423593282699585,-1.025752305984497,0.03462774679064751,-0.050761111080646515,-0.5989388823509216,-0.6626509428024292,-0.03084436058998108,-0.08218590915203094,-0.9964368939399719,-1.0553083419799805,0.03468654304742813,-0.024308402091264725,-0.9712084531784058,-1.1114522218704224,0.12677563726902008,-0.01711825467646122,0.9148246049880981,0.7694075703620911,-0.07239164412021637,-0.07919136434793472,0.9432746767997742,1.070806622505188,0.06761118024587631,0.06375595182180405,0.14779260754585266,0.11188513040542603,-0.014471028000116348,-0.03376875817775726
