cond,p1,p2,a_b0,a_b1,a_b2,d_alpha
mixed,0,0,0.2932639128704866,0.29624759223808844,0.08310502390364806,0.21015888896683854
mixed,0,1,0.2252614225293199,0.18838513307124377,0.0631976138378183,0.1620638086915016
mixed,0,2,0.27445243657281,0.21184312027494112,0.061465580115715665,0.2129868564570943
mixed,0,3,0.21572399241328238,0.24918043864617745,0.06898715885678927,0.1467368335564931
mixed,0,4,0.2940761617084344,0.2982423561543226,0.09790295047014952,0.1961732112382849
mixed,0,5,0.28879692605982227,0.2999959406912327,0.29999908659656843,-0.011202160536746164
mixed,1,0,0.282493158719937,0.2812352309932311,0.16664915411174297,0.11584400460819405
mixed,1,1,0.28184586125214894,0.27306409627199174,0.08312153822580973,0.19872432302633922
mixed,1,2,0.20582269300172726,0.27045486605763436,0.08353412831972043,0.12228856468200683
mixed,1,3,0.27718920677304265,0.2839776980752746,0.13884697544972102,0.13834223132332163
mixed,1,4,0.253775056254367,0.2984659617125988,0.29986546540260317,-0.046090409148236144
mixed,1,5,0.279844148085018,0.29963145179003475,0.298657431427141,-0.01881328334212301
mixed,2,0,0.2948492403000593,0.26483849359850087,0.2500988652909795,0.0447503750090798
mixed,2,1,0.2803628517145912,0.29436183094183604,0.2803602839450041,2.5677695870696127e-06
mixed,2,2,0.28004596760074296,0.2918554896637797,0.27955001432349286,0.0004959532772501052
mixed,2,3,0.2845712344676256,0.29117580331067244,0.29849699800064167,-0.013925763533016056
mixed,2,4,0.2836713222856323,0.29647899968475105,0.2652380967631936,0.0184332255224387
mixed,2,5,0.29395089388638734,0.2982628703325987,0.29719458557466666,-0.0032436916882793154
mixed,3,0,0.28808257444600266,0.2950255065287153,0.26582115694532793,0.02226141750067473
mixed,3,1,0.27688385871698457,0.2841408844878276,0.2949509557147821,-0.018067096997797516
mixed,3,2,0.23334219189832608,0.269421400851508,0.18203525512168806,0.05130693677663803
mixed,3,3,0.266000732511282,0.2709920618991057,0.17727111570686102,0.08872961680442096
mixed,3,4,0.2763147864381472,0.2975792205547293,0.21088413243144752,0.0654306540066997
mixed,3,5,0.28480363510549067,0.29313241926183303,0.2474744746332367,0.03732916047225396
mixed,4,0,0.2679989484677712,0.29521312189449866,0.2999924226562182,-0.031993474188447
mixed,4,1,0.29747607219715916,0.2936231484820445,0.2921245220457514,0.005351550151407758
mixed,4,2,0.23504370774775743,0.2868504474267364,0.2991093814988931,-0.06406567375113567
mixed,4,3,0.2890106197064122,0.2994142451375723,0.28536523065517344,0.0036453890512387344
mixed,4,4,0.2899467599754532,0.2962996270403266,0.2929724135244886,-0.0030256535490353897
