dim,median_d_gamma,abs_median,sign_consistency,n_runs,passes
9,-0.1733114815744193,0.1733114815744193,0.9666666666666667,30,True
2,-0.1961316307829693,0.1961316307829693,0.8666666666666667,30,True
6,-0.14124717501737175,0.14124717501737175,0.8666666666666667,30,True
14,0.3973476786256457,0.3973476786256457,0.8333333333333334,30,True
4,0.13453390795579373,0.13453390795579373,0.8333333333333334,30,True
12,0.18473088471281027,0.18473088471281027,0.7666666666666667,30,False
15,0.12397263764077796,0.12397263764077796,0.7333333333333333,30,False
11,-0.14147452370232594,0.14147452370232594,0.7,30,False
10,-0.17472410858497217,0.17472410858497217,0.6666666666666667,30,False
5,-0.14461864026534993,0.14461864026534993,0.6666666666666667,30,False
13,0.14033450122456997,0.14033450122456997,0.6666666666666666,30,False
0,0.1722769558215514,0.1722769558215514,0.5666666666666667,30,False
8,0.1467575775240548,0.1467575775240548,0.5666666666666667,30,False
7,0.1183174398536988,0.1183174398536988,0.5666666666666667,30,False
3,0.0411037887457448,0.0411037887457448,0.5666666666666667,30,False
1,-0.019508432413917046,0.019508432413917046,0.5,30,False
